-0.269317	-0.038420	-0.441288	-0.607259	0.379285	-0.230354	0.504647	-0.344485	-0.419864	-0.087476	0.609956	0.050839	0.466686	-0.103185	0.194946	-0.132557	-0.061112	0.520673	0.213626	-0.139254	0.602161	-0.265767
-0.169209	-0.139410	0.012284	-0.447761	0.678386	-0.295414	0.335390	-0.115039	-0.234464	-0.018969	0.127940	-0.100033	0.240526	-0.488622	-0.048973	0.142956	-0.367383	0.712081	0.072310	-0.147100	0.479069	-0.048015
-0.928141	0.524493	1.393196	0.726096	0.315906	-0.275030	0.159683	0.272497	0.554716	-1.064680	-0.959864	-0.811682	-0.444066	-0.251203	-0.650065	0.444947	-1.418855	0.663545	-0.468964	0.654930	0.951565	2.229588
0.014709	0.194252	0.032668	-0.280773	0.405755	-0.162099	0.534154	-0.302225	-0.091254	0.204693	0.532276	-0.128968	-0.132702	-0.108221	0.077944	0.205174	0.030387	0.388235	0.195028	-0.116481	0.400362	-0.141467
0.071550	0.387385	-0.074321	-0.459607	0.420312	-0.405269	0.432098	-0.052717	-0.314714	-0.084163	0.349600	0.053873	0.029524	-0.138211	-0.159273	0.072773	-0.235951	0.276145	0.022430	-0.232059	0.510249	0.068418
-0.161040	-0.277263	-0.336959	-0.312727	0.457772	-0.421400	0.582353	-0.289070	-0.445275	-0.013465	0.266035	0.171405	0.168023	-0.107701	0.106664	-0.050531	-0.212665	0.307235	-0.028239	-0.351566	0.327051	-0.118793
-0.430411	-0.016510	-0.432132	-0.172984	0.570441	-0.331838	0.684837	0.042741	0.012915	0.306528	0.409796	0.060660	0.256063	-0.698521	-0.596736	-0.112802	-0.406069	0.573931	0.151211	-0.599047	0.284293	-0.113417
-0.128106	0.108914	-0.121722	0.434665	1.419304	1.031266	0.223913	1.003708	1.733721	0.092197	1.154157	-0.024997	-0.478503	-0.923289	-1.782420	0.365895	-1.156860	1.476478	0.158433	-0.879973	-0.656937	-1.047093
0.203319	0.525289	-0.276090	-0.587872	0.516275	-0.406763	0.533764	0.023775	-0.447414	-0.166892	0.547621	-0.044764	0.016039	-0.060936	-0.287777	-0.078465	-0.226411	0.286587	0.040129	-0.202952	0.514473	0.000920
-0.189927	-0.066438	-0.361160	-0.341522	0.363987	-0.206541	0.372353	-0.445518	-0.436553	0.018151	0.380590	0.215003	0.324256	-0.168835	0.066118	-0.271105	-0.068346	0.212203	0.102826	-0.176402	0.253229	-0.288637
-0.396902	1.576505	-0.410986	0.948143	0.824667	0.962241	1.099984	1.852200	1.263216	0.072712	0.410475	-0.889445	-0.998068	-1.049585	0.225343	-1.118991	-0.238789	2.042839	-0.370604	0.896336	-0.124990	-0.550107
-0.209983	-0.211365	0.063534	-0.204951	0.541402	-0.334318	0.496405	-0.341550	-0.249193	-0.168136	0.407090	-0.278734	0.374602	-0.364668	0.208573	0.046240	-0.353449	0.150888	0.429965	-0.323701	0.445382	0.070242
0.146160	-0.037522	-0.423466	-0.436105	0.483014	-0.153529	0.443342	-0.354864	-0.449215	-0.047781	0.404563	0.141893	0.395015	-0.303850	-0.002673	-0.091141	-0.143473	0.232591	0.104069	-0.264872	0.381124	-0.322078
-1.027334	-0.304857	1.957384	1.006589	1.192003	-0.055925	0.653214	0.235597	0.682343	-1.342136	0.095021	-1.957683	-0.319974	-0.972231	0.518913	0.808369	-1.138044	-1.000603	0.907498	0.071200	0.721909	1.234091
0.007283	-0.081163	-0.144348	-0.542702	0.800448	-0.488958	0.585525	-0.194204	-0.338364	-0.172811	0.549026	0.346068	0.405321	-0.323840	-0.156578	-0.009951	0.051312	0.499888	0.377118	-0.170078	0.745821	-0.184032
-0.295736	0.203087	-0.248373	-0.448113	0.578366	0.085880	0.422741	-0.083525	-0.236197	0.202903	0.510921	-0.083458	0.393947	-0.420438	0.059861	0.051199	-0.032566	0.374472	0.336080	-0.280420	0.405179	-0.101343
-1.095407	1.067095	0.157552	0.144212	1.217730	1.297673	0.228364	1.474929	1.485866	0.084142	0.524351	-0.659081	1.260023	-1.015976	-0.085190	0.642570	0.129066	1.133628	0.692816	-0.333001	0.903767	0.366054
